iter	MAPE
0	0.4453453039
1	0.4401492309
2	0.4350941462
3	0.4281416958
4	0.4214105836
5	0.4168048544
6	0.4123436286
7	0.4060861573
8	0.4018980686
9	0.3978272589
10	0.3938756334
11	0.3900571096
12	0.3848367189
13	0.3793941826
14	0.3757213987
15	0.3708401379
16	0.3661590642
17	0.3629773694
18	0.3598320303
19	0.3568440919
20	0.3508379948
21	0.3480140575
22	0.3452902401
23	0.3426409186
24	0.340065719
25	0.3374106656
26	0.3350054325
27	0.3326586311
28	0.3303823014
29	0.3281812636
30	0.3244924915
31	0.3224219872
32	0.3204315009
33	0.3185075174
34	0.3166326857
35	0.3148237852
36	0.3130795736
37	0.3113656913
38	0.3097387232
39	0.3081645385
40	0.3049683597
41	0.3035062675
42	0.3020988555
43	0.3007479587
44	0.299449191
45	0.2982264693
46	0.2977181248
47	0.2965980323
48	0.2955153294
49	0.2955007865
50	0.2938720731
51	0.2938621925
52	0.2937980692
53	0.2937976924
54	0.2937492848
55	0.2923892378
56	0.2908391003
57	0.2895218439
58	0.2895208787
59	0.2894763747
60	0.287953951
61	0.2864803318
62	0.2864801344
63	0.2864380395
64	0.2851374668
65	0.2838418299
66	0.283841629
67	0.2838039418
68	0.2824269534
69	0.2824267554
70	0.2822934578
71	0.2822861091
72	0.2822854729
73	0.2822848083
74	0.2822699474
75	0.2810504739
76	0.2797310182
77	0.279694088
78	0.2796931942
79	0.2796931174
80	0.2796926301
81	0.2785237786
82	0.2785235291
83	0.2785230876
84	0.2784820784
85	0.2784475993
86	0.2784266336
87	0.2783951007
88	0.2783814182
89	0.2783809462
90	0.2783804884
91	0.2783739861
92	0.2783680027
93	0.2783408603
94	0.2772578062
95	0.2772574137
96	0.2772542128
97	0.2760106698
98	0.2749177834
99	0.2738535828
100	0.2738306193
101	0.2738285307
102	0.2738198669
103	0.2738201099
104	0.2737974061
105	0.2736769292
106	0.2728960749
107	0.2722900716
108	0.272271565
109	0.2722577695
110	0.2712971656
111	0.2712862982
112	0.2712757568
113	0.2712667601
114	0.2705717128
115	0.2694921863
116	0.269463615
117	0.2694625991
118	0.268561718
